"","sample_id","code","sample_date","k","no3_n","mg","ca","nh4_n","year"
"1599","MPR",15997,1995-05-09,NA,NA,NA,NA,NA,1995
"1600","Q1",15994,1995-05-09,NA,NA,NA,NA,NA,1995
"1601","Q2",15995,1995-05-09,NA,NA,NA,NA,NA,1995
"1602","Q3",15996,1995-05-09,NA,NA,NA,NA,NA,1995
"1603","MPR",16010,1995-05-16,0.62,NA,1.14,4.53,NA,1995
"1604","Q1",16007,1995-05-16,1.64,NA,2.73,4.72,NA,1995
"1605","Q2",16008,1995-05-16,1.49,NA,2.54,5.39,NA,1995
"1606","Q3",16009,1995-05-16,0.67,NA,1.98,2.91,NA,1995
"1607","MPR",16023,1995-05-23,0.9,NA,2.3,9.67,NA,1995
"1608","Q1",16020,1995-05-23,1.55,NA,4.07,6.54,NA,1995
"1609","Q2",16021,1995-05-23,1.18,NA,2.92,5.92,NA,1995
"1610","Q3",16022,1995-05-23,0.94,NA,3.62,5.15,NA,1995
"1611","MPR",16036,1995-05-30,NA,NA,NA,NA,NA,1995
"1612","Q1",16033,1995-05-30,NA,NA,NA,NA,NA,1995
"1613","Q2",16034,1995-05-30,NA,NA,NA,NA,NA,1995
"1614","Q3",16035,1995-05-30,NA,NA,NA,NA,NA,1995
"1615","MPR",16248,1995-06-06,NA,NA,NA,NA,NA,1995
"1616","Q1",16245,1995-06-06,NA,NA,NA,NA,NA,1995
"1617","Q2",16246,1995-06-06,NA,NA,NA,NA,NA,1995
"1618","Q3",16247,1995-06-06,NA,NA,NA,NA,NA,1995
"1619","MPR",16261,1995-06-13,NA,NA,NA,NA,NA,1995
"1620","Q1",16258,1995-06-13,NA,NA,NA,NA,NA,1995
"1621","Q2",16259,1995-06-13,NA,NA,NA,NA,NA,1995
"1622","Q3",16260,1995-06-13,NA,NA,NA,NA,NA,1995
"1623","MPR",16274,1995-06-20,0.62,NA,2.07,8.49,NA,1995
"1624","Q1",16271,1995-06-20,1.05,NA,3.34,6.1,NA,1995
"1625","Q2",16272,1995-06-20,1.01,NA,2.79,5.98,NA,1995
"1626","Q3",16273,1995-06-20,0.73,NA,3.22,4.65,NA,1995
"1627","MPR",16287,1995-06-27,0.64,NA,2.24,10.06,NA,1995
"1628","Q1",16284,1995-06-27,1.01,NA,3.23,5.8,NA,1995
"1629","Q2",16285,1995-06-27,0.92,NA,2.92,6.17,NA,1995
"1630","Q3",16286,1995-06-27,0.66,NA,3.4,4.83,NA,1995
"1631","MPR",16343,1995-07-05,0.65,NA,2.47,11.49,NA,1995
"1632","Q1",16340,1995-07-05,NA,NA,NA,NA,NA,1995
"1633","Q2",16341,1995-07-05,1.07,NA,3.06,6.54,NA,1995
"1634","Q3",16342,1995-07-05,0.58,NA,3.3,4.76,NA,1995
"1635","MPR",16356,1995-07-11,0.78,NA,2.34,9.79,NA,1995
"1636","Q1",16353,1995-07-11,0.84,NA,3.4,6.04,NA,1995
"1637","Q2",16354,1995-07-11,0.98,NA,2.99,6.54,NA,1995
"1638","Q3",16355,1995-07-11,0.76,NA,3.27,5.01,NA,1995
"1639","MPR",16369,1995-07-18,0.64,NA,2.04,9.7,NA,1995
"1640","Q1",16366,1995-07-18,0.83,NA,3,5.38,NA,1995
"1641","Q2",16367,1995-07-18,NA,NA,NA,NA,NA,1995
"1642","Q3",16368,1995-07-18,0.76,NA,3.13,4.62,NA,1995
"1643","MPR",16382,1995-07-26,NA,NA,NA,NA,NA,1995
"1644","Q1",16379,1995-07-26,1.05,NA,3.41,6.04,NA,1995
"1645","Q2",16380,1995-07-26,1.13,NA,2.88,6.22,NA,1995
"1646","Q3",16381,1995-07-26,NA,NA,NA,NA,NA,1995
"1647","MPR",16395,1995-08-01,NA,NA,NA,NA,NA,1995
"1648","Q1",16392,1995-08-01,NA,NA,NA,NA,NA,1995
"1649","Q2",16393,1995-08-01,NA,NA,NA,NA,NA,1995
"1650","Q3",16394,1995-08-01,NA,NA,NA,NA,NA,1995
"1651","MPR",16408,1995-08-08,NA,NA,NA,NA,NA,1995
"1652","Q1",16405,1995-08-08,NA,NA,NA,NA,NA,1995
"1653","Q2",16406,1995-08-08,NA,NA,NA,NA,NA,1995
"1654","Q3",16407,1995-08-08,NA,NA,NA,NA,NA,1995
"1655","MPR",16421,1995-08-15,NA,NA,NA,NA,NA,1995
"1656","Q1",16418,1995-08-15,NA,NA,NA,NA,NA,1995
"1657","Q2",16419,1995-08-15,NA,NA,NA,NA,NA,1995
"1658","Q3",16420,1995-08-15,NA,NA,NA,NA,NA,1995
"1659","MPR",16434,1995-08-22,NA,NA,NA,NA,NA,1995
"1660","Q1",16431,1995-08-22,NA,NA,NA,NA,NA,1995
"1661","Q2",16432,1995-08-22,NA,NA,NA,NA,NA,1995
"1662","Q3",16433,1995-08-22,NA,NA,NA,NA,NA,1995
"1663","MPR",16447,1995-08-29,NA,NA,NA,NA,NA,1995
"1664","Q1",16444,1995-08-29,NA,NA,NA,NA,NA,1995
"1665","Q2",16445,1995-08-29,NA,NA,NA,NA,NA,1995
"1666","Q3",16446,1995-08-29,NA,NA,NA,NA,NA,1995
"1667","MPR",16460,1995-09-12,NA,NA,NA,NA,NA,1995
"1668","Q1",16457,1995-09-12,NA,NA,NA,NA,NA,1995
"1669","Q2",16458,1995-09-12,NA,NA,NA,NA,NA,1995
"1670","Q3",16459,1995-09-12,NA,NA,NA,NA,NA,1995
"1671","MPR",16473,1995-09-19,NA,NA,NA,NA,NA,1995
"1672","Q1",16470,1995-09-19,NA,NA,NA,NA,NA,1995
"1673","Q2",16471,1995-09-19,NA,NA,NA,NA,NA,1995
"1674","Q3",16472,1995-09-19,NA,NA,NA,NA,NA,1995
"1675","MPR",16486,1995-09-26,NA,NA,NA,NA,NA,1995
"1676","Q1",16483,1995-09-26,NA,NA,NA,NA,NA,1995
"1677","Q2",16484,1995-09-26,NA,NA,NA,NA,NA,1995
"1678","Q3",16485,1995-09-26,NA,NA,NA,NA,NA,1995
"1679","MPR",16499,1995-10-03,NA,NA,NA,NA,NA,1995
"1680","Q1",16496,1995-10-03,NA,NA,NA,NA,NA,1995
"1681","Q2",16497,1995-10-03,NA,NA,NA,NA,NA,1995
"1682","Q3",16498,1995-10-03,NA,NA,NA,NA,NA,1995
"1683","MPR",16512,1995-10-10,NA,NA,NA,NA,NA,1995
"1684","Q1",16509,1995-10-10,NA,NA,NA,NA,NA,1995
"1685","Q2",16510,1995-10-10,NA,NA,NA,NA,NA,1995
"1686","Q3",16511,1995-10-10,NA,NA,NA,NA,NA,1995
"1687","MPR",16525,1995-10-17,NA,NA,NA,NA,NA,1995
"1688","Q1",16522,1995-10-17,NA,NA,NA,NA,NA,1995
"1689","Q2",16523,1995-10-17,NA,NA,NA,NA,NA,1995
"1690","Q3",16524,1995-10-17,NA,NA,NA,NA,NA,1995
"1691","MPR",16538,1995-10-24,NA,NA,NA,NA,NA,1995
"1692","Q1",16535,1995-10-24,NA,NA,NA,NA,NA,1995
"1693","Q2",16536,1995-10-24,NA,NA,NA,NA,NA,1995
"1694","Q3",16537,1995-10-24,NA,NA,NA,NA,NA,1995
"1695","MPR",16551,1995-10-31,NA,NA,NA,NA,NA,1995
"1696","Q1",16548,1995-10-31,NA,NA,NA,NA,NA,1995
"1697","Q2",16549,1995-10-31,NA,NA,NA,NA,NA,1995
"1698","Q3",16550,1995-10-31,NA,NA,NA,NA,NA,1995
"1699","MPR",16564,1995-11-07,NA,NA,NA,NA,NA,1995
"1700","Q1",16561,1995-11-07,NA,NA,NA,NA,NA,1995
"1701","Q2",16562,1995-11-07,NA,NA,NA,NA,NA,1995
"1702","Q3",16563,1995-11-07,NA,NA,NA,NA,NA,1995
"1703","MPR",16577,1995-11-14,NA,NA,NA,NA,NA,1995
"1704","Q1",16574,1995-11-14,NA,NA,NA,NA,NA,1995
"1705","Q2",16575,1995-11-14,NA,NA,NA,NA,NA,1995
"1706","Q3",16576,1995-11-14,NA,NA,NA,NA,NA,1995
"1707","MPR",16590,1995-11-21,NA,NA,NA,NA,NA,1995
"1708","Q1",16587,1995-11-21,NA,NA,NA,NA,NA,1995
"1709","Q2",16588,1995-11-21,NA,NA,NA,NA,NA,1995
"1710","Q3",16589,1995-11-21,NA,NA,NA,NA,NA,1995
"1711","MPR",16603,1995-11-28,NA,NA,NA,NA,NA,1995
"1712","Q1",16600,1995-11-28,NA,NA,NA,NA,NA,1995
"1713","Q2",16601,1995-11-28,NA,NA,NA,NA,NA,1995
"1714","Q3",16602,1995-11-28,NA,NA,NA,NA,NA,1995
"1715","MPR",16616,1995-12-05,NA,NA,NA,NA,NA,1995
"1716","Q1",16613,1995-12-05,0.43,NA,1.09,2.03,NA,1995
"1717","Q2",16614,1995-12-05,NA,NA,NA,NA,NA,1995
"1718","Q3",16615,1995-12-05,NA,NA,NA,NA,NA,1995
"1719","MPR",16629,1995-12-12,0.78,NA,2.1,9.36,NA,1995
"1720","Q1",16626,1995-12-12,NA,NA,NA,NA,NA,1995
"1721","Q2",16627,1995-12-12,NA,NA,NA,NA,NA,1995
"1722","Q3",16628,1995-12-12,0.8,NA,3.48,5.18,NA,1995
"1723","MPR",16642,1995-12-19,0.56,NA,1.34,5.37,NA,1995
"1724","Q1",16639,1995-12-19,1.36,NA,2.3,3.77,NA,1995
"1725","Q2",16640,1995-12-19,1.22,NA,2.33,5.21,NA,1995
"1726","Q3",16641,1995-12-19,0.79,NA,2.37,3.48,NA,1995
"1727","MPR",16655,1995-12-26,NA,NA,NA,NA,NA,1995
"1728","Q1",16652,1995-12-26,1.18,NA,3.43,6.56,NA,1995
"1729","Q2",16653,1995-12-26,1.04,NA,3.17,7.05,NA,1995
"1730","Q3",16654,1995-12-26,0.85,NA,3.43,5.34,NA,1995
