"","...1","sample_id","code","sample_date","k","no3_n","mg","ca","nh4_n","year","nh4_n_avg"
"68",68,"Q3",100014091,1988-03-23,0.62,219,2.99,3.81,25,1988,21.7777777777778
"69",69,"Q1",100012100,1988-03-29,0.97,291,1.48,3.16,8,1988,19.1875
"70",70,"Q1",100012097,1988-03-29,1.13,283,1.47,3.22,7,1988,19.1875
"71",71,"Q1",100012101,1988-03-29,0.86,239,1.7,2.72,10,1988,19.1875
"72",72,"Q1",100012099,1988-03-29,1.07,291,1.09,1.31,20,1988,19.1875
"73",73,"Q1",100012098,1988-03-29,1.07,300,1.11,1.29,8,1988,19.1875
"74",74,"Q1",100012096,1988-03-29,1.17,261,1.49,3.7,13,1988,19.1875
"75",75,"Q1",100012094,1988-03-29,1.11,265,1.16,1.38,31,1988,19.1875
"76",76,"Q1",100012095,1988-03-29,1.06,252,1.19,1.34,16,1988,19.1875
"77",77,"Q2",100013096,1988-03-29,0.97,287,1.69,3.51,12,1988,21.5714285714286
"78",78,"Q3",100014092,1988-03-29,0.59,200,1.78,2.49,31,1988,22.2222222222222
"79",79,"Q1",100012102,1988-04-05,0.82,135,2.31,2.75,26,1988,22.125
"80",80,"Q2",100013097,1988-04-05,0.78,174,2.64,4.85,NA,1988,27.1428571428571
"81",81,"Q3",100014093,1988-04-05,0.63,207,2.93,3.71,21,1988,26.3333333333333
"82",82,"Q1",100012103,1988-04-12,0.71,141,2.77,4.22,34,1988,24
"83",83,"Q2",100013098,1988-04-12,0.69,173,2.71,4.77,NA,1988,31.875
"84",84,"Q3",100014094,1988-04-12,0.61,210,2.83,3.71,19,1988,28.5
"85",85,"Q1",100012104,1988-04-19,0.85,150,2.57,3.82,16,1988,35.9411764705882
"86",86,"Q2",100013099,1988-04-19,0.77,212,2.16,4.05,23,1988,43.125
"87",87,"Q3",100014095,1988-04-19,0.6,191,2.45,3.16,17,1988,29.9
"88",88,"Q1",100012105,1988-04-26,0.74,142,2.87,4.3,28,1988,38.8823529411765
"89",89,"Q2",100013100,1988-04-26,0.79,182,2.55,4.73,34,1988,48.75
"90",90,"Q3",100014096,1988-04-26,0.64,208,2.96,3.8,27,1988,34.8
"91",91,"Q1",100012106,1988-05-03,0.75,139,2.82,4.18,65,1988,60.9
"92",92,"Q2",100013101,1988-05-03,0.81,164,2.57,4.74,58,1988,55.875
"93",93,"Q3",100014097,1988-05-03,0.64,201,2.94,3.77,52,1988,40.5
"94",94,"Q1",100012107,1988-05-10,1.19,142,2.24,3.6,69,1988,64.2
"95",95,"Q1",100012109,1988-05-10,NA,NA,NA,NA,NA,1988,64.2
"96",96,"Q1",100012110,1988-05-10,NA,NA,NA,NA,NA,1988,64.2
"97",97,"Q1",100012111,1988-05-10,NA,NA,NA,NA,NA,1988,64.2
"98",98,"Q1",100012108,1988-05-10,1.2,203,1.44,2.58,10,1988,64.2
"99",99,"Q2",100013106,1988-05-10,NA,NA,NA,NA,NA,1988,57.5555555555556
"100",100,"Q2",100013105,1988-05-10,NA,NA,NA,NA,NA,1988,57.5555555555556
"101",101,"Q2",100013104,1988-05-10,NA,NA,NA,NA,NA,1988,57.5555555555556
"102",102,"Q2",100013103,1988-05-10,1.27,415,0.9,2.48,38,1988,57.5555555555556
"103",103,"Q2",100013102,1988-05-10,0.77,162,2.66,4.35,54,1988,57.5555555555556
"104",104,"Q3",100014098,1988-05-10,0.66,224,3.07,3.84,64,1988,46.2
"105",105,"Q3",100014099,1988-05-10,0.83,186,1.69,2.41,16,1988,46.2
"106",106,"Q3",100014100,1988-05-10,NA,NA,NA,NA,NA,1988,46.2
"107",107,"Q3",100014101,1988-05-10,NA,NA,NA,NA,NA,1988,46.2
"108",108,"Q3",100014102,1988-05-10,NA,NA,NA,NA,NA,1988,46.2
"109",109,"Q1",100012112,1988-05-17,NA,148,1.12,1.12,237,1988,67.6
"110",110,"Q2",100013107,1988-05-17,0.75,234,1.13,1.36,117,1988,63.6
"111",111,"Q3",100014103,1988-05-17,0.58,176,1.23,1.04,27,1988,51.3
"112",112,"Q1",100012113,1988-05-24,0.75,149,1.2,1.34,63,1988,81.8
"113",113,"Q2",100013108,1988-05-24,0.67,213,2.37,4.26,54,1988,68.1111111111111
"114",114,"Q3",100014104,1988-05-24,0.61,206,1.33,1.15,74,1988,55.1111111111111
"115",115,"Q1",100012114,1988-05-31,0.9,156,2.57,3.16,61,1988,87.7777777777778
